DATA IN NGS FORMAT FROM DATABASE 19FEB25XA_V002                                                 
SEJONG    YARRA12M  1741-038 2019 02 26 03 45  35.0000000000              253601                
   -5491707.30091146   0.00756    -5188.5246046173   0.00600 0      I     253602                
   0.00079    .00000    .00000    .00000  -1.127624882958936       0.0    253603                
  0.336   1.163  0.0046  0.0025  0.0275 -0.0192      39233.953            253604
   0.00000   0.00000    .00000    .00000    .00000    .00000              253605                
     9.552    34.520   999.800   981.793    24.404    50.000 0 0          253606                
        0.3411899706   0.04579       -0.0007469156   0.00780  0           253608                
ISHIOKA   KOKEE     2309+454 2019 02 26 03 46   0.0000000000              253701                
    9260157.11293086   0.03136   838522.5207769885   0.01790 0      I     253702                
   0.00016    .00000    .00000    .00000   3.797870647328058       0.1    253703                
  0.252   0.359 -0.0001 -0.0028 -0.0001  0.0017       7549.378            253704
   0.00000   0.05676    .00000    .00000    .00000    .00000              253705                
    10.600    15.359  1003.300   885.700    58.702    78.599 0 0          253706                
        0.3444977122   0.01403        0.0179815660   0.00277  0           253708                
ISHIOKA   MATERA    2309+454 2019 02 26 03 46   0.0000000000              253801                
   16517781.79137694   0.08278  -781581.5057349970   0.05336 1      I     253802                
   0.00006    .00000    .00000    .00000   2.103694061971425       0.1    253803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            253804
   0.00000  -0.21835    .00000    .00000    .00000    .00000              253805                
    10.600     0.036  1003.300   967.432    58.702    70.591 0 0          253806                
        2.4379992564   0.03846        0.0043610081   0.00817  0           253808                
ISHIOKA   NYALES20  2309+454 2019 02 26 03 46   0.0000000000              253901                
    7435947.49089355   0.02958  -237420.0564459054   0.01758 0      I     253902                
   0.00017    .00000    .00000    .00000   4.128856030770267       0.1    253903                
  0.252   0.094 -0.0001 -0.0036 -0.0001 -0.0047    -145903.632            253904
   0.00000   0.01907    .00000    .00000    .00000    .00000              253905                
    10.600   -18.860  1003.300  1006.400    58.702    60.786 0 0          253906                
        0.0363085351   0.01554        0.0160865707   0.00423  0           253908                
ISHIOKA   WETTZELL  2309+454 2019 02 26 03 46   0.0000000000              254001                
   14718073.26773064   0.02806  -658654.6054968213   0.01614 0      I     254002                
   0.00018    .00000    .00000    .00000   0.440342567547051       0.0    254003                
  0.252   0.507 -0.0001  0.0035 -0.0001 -0.0073      -2444.387            254004
   0.00000   0.00970    .00000    .00000    .00000    .00000              254005                
    10.600     2.923  1003.300   961.200    58.702    94.519 0 0          254006                
        1.1221927243   0.01405        0.0039505254   0.00349  0           254008                
KOKEE     MATERA    2309+454 2019 02 26 03 46   0.0000000000              254101                
    7257639.88696237   0.09210 -1620102.2386339845   0.05937 2      I     254102                
   0.00006    .00000    .00000    .00000  -2.021813975834448       0.2    254103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            254104
   0.05676  -0.21835    .00000    .00000    .00000    .00000              254105                
    15.359     0.036   885.700   967.432    78.599    70.591 0 0          254106                
        0.2199963418   0.03866       -0.0006530886   0.00631  0           254108                
KOKEE     NYALES20  2309+454 2019 02 26 03 46   0.0000000000              254201                
   -1824199.71553729   0.05735 -1075941.3280784995   0.03407 0      I     254202                
   0.00009    .00000    .00000    .00000  -1.323890933708124       0.1    254203                
  0.359   0.094 -0.0028 -0.0036  0.0017 -0.0047    -153453.011            254204
   0.05676   0.01907    .00000    .00000    .00000    .00000              254205                
    15.359   -18.860   885.700  1006.400    78.599    60.786 0 0          254206                
       -0.3021524016   0.02386       -0.0063127058   0.00368  0           254208                
KOKEE     WETTZELL  2309+454 2019 02 26 03 46   0.0000000000              254301                
    5457929.94893582   0.06534 -1497175.2704231215   0.03759 0      I     254302                
   0.00008    .00000    .00000    .00000   0.427750809018020       0.1    254303                
  0.359   0.507 -0.0028  0.0035  0.0017 -0.0073      -9993.766            254304
   0.05676   0.00970    .00000    .00000    .00000    .00000              254305                
    15.359     2.923   885.700   961.200    78.599    94.519 0 0          254306                
        0.7712312001   0.02667       -0.0150242303   0.00356  0           254308                
MATERA    NYALES20  2309+454 2019 02 26 03 46   0.0000000000              254401                
   -9081843.36649306   0.03149   544161.5594449652   0.02030 1      I     254402                
   0.00017    .00000    .00000    .00000  -3.097729857803970       0.1    254403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            254404
  -0.21835   0.01907    .00000    .00000    .00000    .00000              254405                
     0.036   -18.860   967.432  1006.400    70.591    60.786 0 0          254406                
       -2.3783293510   0.02086        0.0027895822   0.00613  0           254408                
MATERA    WETTZELL  2309+454 2019 02 26 03 46   0.0000000000              254501                
   -1799710.61866945   0.01826   122927.0272558412   0.01177 0      I     254502                
   0.00029    .00000    .00000    .00000   0.365095050815403       0.0    254503                
  0.538   0.507  0.0137  0.0035  0.0331 -0.0073        222.838            254504
  -0.21835   0.00970    .00000    .00000    .00000    .00000              254505                
     0.036     2.923   967.432   961.200    70.591    94.519 0 0          254506                
        0.5303243188   0.01445        0.0029929757   0.00453  0           254508                
NYALES20  WETTZELL  2309+454 2019 02 26 03 46   0.0000000000              254601                
    7282128.92865482   0.01167  -421234.4522940086   0.00693 0      I     254602                
   0.00044    .00000    .00000    .00000   4.129127939517564       0.0    254603                
  0.094   0.507 -0.0036  0.0035 -0.0047 -0.0073     143459.245            254604
   0.01907   0.00970    .00000    .00000    .00000    .00000              254605                
   -18.860     2.923  1006.400   961.200    60.786    94.519 0 0          254606                
        1.0534893394   0.00859       -0.0078954342   0.00292  0           254608                
HART15M   KATH12M   1657-261 2019 02 26 03 47  51.0000000000              254701                
   18134343.56052740   0.03102  1676304.1907940065   0.02698 4      I     254702                
   0.00020    .00000    .00000    .00000   0.667364533619183       0.1    254703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            254704
   0.00000   0.00000    .00000    .00000    .00000    .00000              254705                
    11.019    34.495   862.681   994.440    88.019    46.026 0 0          254706                
        0.2171758168   0.03981       -0.0316498645   0.02214  0           254708                
ISHIOKA   KOKEE     3C371    2019 02 26 03 49  45.0000000000              254801                
   10465423.41355966   0.01115  -121152.4288258433   0.01019 0      I     254802                
   0.00057    .00000    .00000    .00000  -1.898535183710244       0.0    254803                
  0.385   1.706 -0.0018 -0.1476 -0.0015  0.0159       7549.314            254804
   0.00000   0.05306    .00000    .00000    .00000    .00000              254805                
    10.502    15.004  1003.300   885.732    60.276    80.020 0 0          254806                
        0.3154710190   0.00702        0.0376062329   0.00341  0           254808                
ISHIOKA   MATERA    3C371    2019 02 26 03 49  45.0000000000              254901                
   -4513150.81728401   0.04269  -698814.7809956729   0.03605 1      I     254902                
   0.00014    .00000    .00000    .00000  -4.718171768375687       0.1    254903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            254904
   0.00000  -0.21730    .00000    .00000    .00000    .00000              254905                
    10.502    -0.100  1003.300   967.491    60.276    71.009 0 0          254906                
        2.3468888325   0.02683        0.0139902387   0.01006  0           254908                
ISHIOKA   NYALES20  3C371    2019 02 26 03 49  45.0000000000              255001                
   -8059786.63180896   0.01872  -502707.0305193748   0.01877 0      I     255002                
   0.00036    .00000    .00000    .00000  -2.842011532037908       0.0    255003                
  0.385   0.052 -0.0018  0.0002 -0.0015 -0.0009    -145903.405            255004
   0.00000  -0.01131    .00000    .00000    .00000    .00000              255005                
    10.502   -18.719  1003.300  1006.500    60.276    59.790 0 0          255006                
        0.0019589273   0.01375        0.0226850527   0.00788  0           255008                
ISHIOKA   SEJONG    3C371    2019 02 26 03 49  45.0000000000              255101                
   -1399791.99897652   0.00567   -26371.2837045411   0.00478 0      I     255102                
   0.00108    .00000    .00000    .00000  -3.688691428963060       0.0    255103                
  0.385   0.162 -0.0018 -0.0012 -0.0015  0.0012     -31070.171            255104
   0.00000   0.00000    .00000    .00000    .00000    .00000              255105                
    10.502     9.907  1003.300   999.784    60.276    22.203 0 0          255106                
       -0.5917372344   0.04144       -0.0159650509   0.00752  0           255108                
ISHIOKA   WETTZELL  3C371    2019 02 26 03 49  45.0000000000              255201                
   -5812434.74140991   0.01358  -678504.9943089198   0.01265 0      I     255202                
   0.00047    .00000    .00000    .00000  -0.611991489023010       0.0    255203                
  0.385   0.155 -0.0018  0.0002 -0.0015 -0.0004      -2444.392            255204
   0.00000   0.00815    .00000    .00000    .00000    .00000              255205                
    10.502     2.600  1003.300   961.200    60.276    95.132 0 0          255206                
        1.0749954279   0.01071        0.0054642017   0.00584  0           255208                
KOKEE     MATERA    3C371    2019 02 26 03 49  45.0000000000              255301                
  -14978568.18136784   0.04057  -577662.9355350487   0.03708 0      I     255302                
   0.00016    .00000    .00000    .00000   0.850065174144807       0.1    255303                
  1.706   0.148 -0.1476  0.0007  0.0159  0.0009     -10216.586            255304
   0.05306  -0.21730    .00000    .00000    .00000    .00000              255305                
    15.004    -0.100   885.732   967.491    80.020    71.009 0 0          255306                
        0.1591277660   0.02231       -0.0276879366   0.00827  0           255308                
KOKEE     NYALES20  3C371    2019 02 26 03 49  45.0000000000              255401                
  -18525206.02460124   0.02653  -381554.9438160901   0.02660 0      I     255402                
   0.00025    .00000    .00000    .00000  -2.457745083614810       0.0    255403                
  1.706   0.052 -0.1476  0.0002  0.0159 -0.0009    -153452.719            255404
   0.05306  -0.01131    .00000    .00000    .00000    .00000              255405                
    15.004   -18.719   885.732  1006.500    80.020    59.790 0 0          255406                
       -0.3276317999   0.01387       -0.0354643090   0.00633  0           255408                
KOKEE     SEJONG    3C371    2019 02 26 03 49  45.0000000000              255501                
  -11865216.37918041   0.00676    94780.7493360035   0.00618 0      I     255502                
   0.00094    .00000    .00000    .00000  -2.761652776673639       0.0    255503                
  1.706   0.162 -0.1476 -0.0012  0.0159  0.0012     -38619.485            255504
   0.05306   0.00000    .00000    .00000    .00000    .00000              255505                
    15.004     9.907   885.732   999.784    80.020    22.203 0 0          255506                
       -0.8663005862   0.03176       -0.0531048965   0.00623  0           255508                
KOKEE     WETTZELL  3C371    2019 02 26 03 49  45.0000000000              255601                
  -16277852.28735274   0.01668  -557353.1124937503   0.01554 0      I     255602                
   0.00039    .00000    .00000    .00000   0.168156618469997       0.0    255603                
  1.706   0.155 -0.1476  0.0002  0.0159 -0.0004      -9993.706            255604
   0.05306   0.00815    .00000    .00000    .00000    .00000              255605                
    15.004     2.600   885.732   961.200    80.020    95.132 0 0          255606                
        0.7492444662   0.00972       -0.0325471928   0.00457  0           255608                
MATERA    NYALES20  3C371    2019 02 26 03 49  45.0000000000              255701                
   -3546634.86022176   0.01937   196107.7750348367   0.01942 0      I     255702                
   0.00035    .00000    .00000    .00000  -2.159779036106003       0.0    255703                
  0.148   0.052  0.0007  0.0002  0.0009 -0.0009    -143236.133            255704
  -0.21730  -0.01131    .00000    .00000    .00000    .00000              255705                
    -0.100   -18.719   967.491  1006.500    71.009    59.790 0 0          255706                
       -0.4948175956   0.01450       -0.0029342627   0.00696  0           255708                
MATERA    WETTZELL  3C371    2019 02 26 03 49  45.0000000000              255801                
   -1299283.76433158   0.00517    20309.7549968602   0.00481 1      I     255802                
   0.00125    .00000    .00000    .00000  -3.610000078757290       0.0    255803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            255804
  -0.21730   0.00815    .00000    .00000    .00000    .00000              255805                
    -0.100     2.600   967.491   961.200    71.009    95.132 0 0          255806                
       -1.3286040970   0.00709       -0.0084443127   0.00351  0           255808                
NYALES20  WETTZELL  3C371    2019 02 26 03 49  45.0000000000              255901                
    2247350.47079668   0.00648  -175797.9489137725   0.00650 0      I     255902                
   0.00103    .00000    .00000    .00000  -0.962051097982639       0.0    255903                
  0.052   0.155  0.0002  0.0002 -0.0009 -0.0004     143459.013            255904
  -0.01131   0.00815    .00000    .00000    .00000    .00000              255905                
   -18.719     2.600  1006.500   961.200    59.790    95.132 0 0          255906                
        1.0765467372   0.00570       -0.0085341976   0.00344  0           255908                
SEJONG    MATERA    3C371    2019 02 26 03 49  45.0000000000              256001                
   -3113359.81244381   0.01434  -672443.4723888094   0.00569 1      I     256002                
   0.00029    .00000    .00000    .00000  -4.584436340547397       0.0    256003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            256004
   0.00000  -0.21730    .00000    .00000    .00000    .00000              256005                
     9.907    -0.100   999.784   967.491    22.203    71.009 0 0          256006                
        2.8129213889   0.05671        0.0168717885   0.00483  0           256008                
SEJONG    NYALES20  3C371    2019 02 26 03 49  45.0000000000              256101                
   -6659995.29330524   0.01341  -476335.7717977349   0.01345 0      I     256102                
   0.00050    .00000    .00000    .00000  -1.560424645929583       0.0    256103                
  0.162   0.052 -0.0012  0.0002  0.0012 -0.0009    -114833.234            256104
   0.00000  -0.01131    .00000    .00000    .00000    .00000              256105                
     9.907   -18.719   999.784  1006.500    22.203    59.790 0 0          256106                
        0.4073496454   0.07860        0.0432061667   0.01692  0           256108                
SEJONG    WETTZELL  3C371    2019 02 26 03 49  45.0000000000              256201                
   -4412643.64737098   0.00894  -652133.7338637699   0.00833 0      I     256202                
   0.00072    .00000    .00000    .00000  -5.616778779183533       0.0    256203                
  0.162   0.155 -0.0012  0.0002  0.0012 -0.0004      28625.779            256204
   0.00000   0.00815    .00000    .00000    .00000    .00000              256205                
     9.907     2.600   999.784   961.200    22.203    95.132 0 0          256206                
        1.6693937255   0.07221       -0.0146051108   0.01445  0           256208                
KATH12M   YARRA12M  2052-474 2019 02 26 03 50  53.0000000000              256301                
   -3954165.94063360   0.02692  -299974.1984802469   0.02923 0      I     256302                
   0.00026    .00000    .00000    .00000  -3.050779925682527       0.0    256303                
  1.365   0.564 -0.0021 -0.0011 -0.0024 -0.0009      -1072.341            256304
   0.00000   0.00000    .00000    .00000    .00000    .00000              256305                
    33.825    34.734   994.387   981.700    50.175    50.000 0 0          256306                
       -0.0846813802   0.02335        0.0235995260   0.01523  0           256308                
ISHIOKA   KOKEE     0110+495 2019 02 26 03 53   6.0000000000              256401                
    3236904.79774603   0.02128   874094.1479817885   0.01617 0      I     256402                
   0.00027    .00000    .00000    .00000   5.435667313459386       0.0    256403                
  0.241   0.234 -0.0003 -0.0012  0.0005  0.0006       7549.257            256404
   0.00000   0.05231    .00000    .00000    .00000    .00000              256405                
    10.364    14.722  1003.300   885.800    59.571    81.088 0 0          256406                
        0.2639992992   0.01384        0.0174141689   0.00569  0           256408                
ISHIOKA   NYALES20  0110+495 2019 02 26 03 53   6.0000000000              256501                
    5922987.52018247   0.01117   245814.3102328916   0.00443 0      I     256502                
   0.00038    .00000    .00000    .00000   2.946406914136796       0.0    256503                
  0.241   0.070 -0.0003 -0.0049  0.0005 -0.0024    -145903.202            256504
   0.00000   0.02149    .00000    .00000    .00000    .00000              256505                
    10.364   -18.914  1003.300  1006.600    59.571    63.115 0 0          256506                
        0.0408571362   0.01397        0.0420551852   0.00353  0           256508                
ISHIOKA   WETTZELL  0110+495 2019 02 26 03 53   6.0000000000              256601                
   15297099.38182637   0.00902    24108.8179890755   0.00358 0      I     256602                
   0.00047    .00000    .00000    .00000   5.090245200063967       0.0    256603                
  0.241   0.668 -0.0003  0.0051  0.0005 -0.0075      -2444.395            256604
   0.00000   0.01278    .00000    .00000    .00000    .00000              256605                
    10.364     2.754  1003.300   961.178    59.571    94.783 0 0          256606                
        1.1052181897   0.01383        0.0018260215   0.00356  0           256608                
KOKEE     NYALES20  0110+495 2019 02 26 03 53   6.0000000000              256701                
    2686084.75207015   0.02427  -628279.1318717608   0.01845 0      I     256702                
   0.00024    .00000    .00000    .00000   1.948070379459882       0.0    256703                
  0.234   0.070 -0.0012 -0.0049  0.0006 -0.0024    -153452.458            256704
   0.05231   0.02149    .00000    .00000    .00000    .00000              256705                
    14.722   -18.914   885.800  1006.600    81.088    63.115 0 0          256706                
       -0.2126423255   0.01932       -0.0094470222   0.00862  0           256708                
KOKEE     WETTZELL  0110+495 2019 02 26 03 53   6.0000000000              256801                
   12060197.37047925   0.01735  -849984.3088395844   0.01318 0      I     256802                
   0.00034    .00000    .00000    .00000   3.361714635593639       0.0    256803                
  0.234   0.668 -0.0012  0.0051  0.0006 -0.0075      -9993.652            256804
   0.05231   0.01278    .00000    .00000    .00000    .00000              256805                
    14.722     2.754   885.800   961.178    81.088    94.783 0 0          256806                
        0.8284896265   0.02049       -0.0169363850   0.00987  0           256808                
NYALES20  WETTZELL  0110+495 2019 02 26 03 53   6.0000000000              256901                
    9374113.19533471   0.00653  -221705.2604671372   0.00259 0      I     256902                
   0.00064    .00000    .00000    .00000   2.311510375526341       0.0    256903                
  0.070   0.668 -0.0049  0.0051 -0.0024 -0.0075     143458.806            256904
   0.02149   0.01278    .00000    .00000    .00000    .00000              256905                
   -18.914     2.754  1006.600   961.178    63.115    94.783 0 0          256906                
        1.0564463261   0.01044       -0.0410071664   0.00269  0           256908                
HART15M   KATH12M   2008-159 2019 02 26 03 54  46.0000000000              257001                
   -4368247.42579208   0.01085  2171578.8426488815   0.00478 0      I     257002                
   0.00041    .00000    .00000    .00000  -2.751952478719134       0.0    257003                
  0.649   1.364  0.0001 -0.0003 -0.0053 -0.0045       6262.083            257004
   0.00000   0.00000    .00000    .00000    .00000    .00000              257005                
    11.158    33.503   862.600   994.306    88.158    50.816 0 0          257006                
       -0.1431467544   0.01002       -0.0086869626   0.00269  0           257008                
HART15M   YARRA12M  2008-159 2019 02 26 03 54  46.0000000000              257101                
   -7343068.81199603   0.00851  1762470.1089845246   0.00375 0      I     257102                
   0.00052    .00000    .00000    .00000  -5.721279089829370       0.0    257103                
  0.649   0.598  0.0001  0.0007 -0.0053 -0.0025       5190.042            257104
   0.00000   0.00000    .00000    .00000    .00000    .00000              257105                
    11.158    34.518   862.600   981.700    88.158    50.000 0 0          257106                
       -0.2276906308   0.00786       -0.0028905134   0.00211  0           257108                
KATH12M   YARRA12M  2008-159 2019 02 26 03 54  46.0000000000              257201                
   -2974823.17553127   0.00979  -409107.8106548222   0.00431 0      I     257202                
   0.00045    .00000    .00000    .00000  -0.921574511522852       0.0    257203                
  1.364   0.598 -0.0003  0.0007 -0.0045 -0.0025      -1072.041            257204
   0.00000   0.00000    .00000    .00000    .00000    .00000              257205                
    33.503    34.518   994.306   981.700    50.816    50.000 0 0          257206                
       -0.0981498695   0.01668       -0.0033665723   0.00479  0           257208                
KOKEE     SEJONG    0202+319 2019 02 26 03 55  52.0000000000              257301                
    3393855.45282102   0.00762 -1287214.0447697516   0.00965 0      I     257302                
   0.00099    .00000    .00000    .00000   2.401465032930384       0.0    257303                
  0.187   0.164 -0.0003 -0.0002  0.0004 -0.0026     -38619.426            257304
   0.05028   0.00000    .00000    .00000    .00000    .00000              257305                
    14.544     9.457   885.800   999.700    81.867    19.897 0 0          257306                
       -0.8004341916   0.03265       -0.0370576399   0.00888  0           257308                
MATERA    NYALES20  0718+793 2019 02 26 03 58   9.0000000000              257401                
   -8218288.98733329   0.03916  -141735.4072352532   0.08194 0      I     257402                
   0.00025    .00000    .00000    .00000  -0.457165356678918       0.1    257403                
  0.175   0.049  0.0024 -0.0008 -0.0014  0.0006    -143235.516            257404
  -0.22327  -0.01931    .00000    .00000    .00000    .00000              257405                
    -0.088   -19.400   967.400  1006.500    71.088    65.900 0 0          257406                
       -0.5329887069   0.03026       -0.0209959709   0.03059  0           257408                
MATERA    WETTZELL  0718+793 2019 02 26 03 58   9.0000000000              257501                
   -2550905.53054245   0.01677   -20538.8128053336   0.03510 1      I     257502                
   0.00058    .00000    .00000    .00000  -4.210327188521862       0.0    257503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            257504
  -0.22327   0.01072    .00000    .00000    .00000    .00000              257505                
    -0.088     3.318   967.400   961.100    71.088    93.137 0 0          257506                
       -1.3120828562   0.01947        0.0271553865   0.02129  0           257508                
NYALES20  WETTZELL  0718+793 2019 02 26 03 58   9.0000000000              257601                
    5667384.49829681   0.01395   121196.4942136007   0.02315 0      I     257602                
   0.00062    .00000    .00000    .00000   2.536980783947393       0.0    257603                
  0.049   0.220 -0.0008  0.0003  0.0006  0.0004     143458.495            257604
  -0.01931   0.01072    .00000    .00000    .00000    .00000              257605                
   -19.400     3.318  1006.500   961.100    65.900    93.137 0 0          257606                
        1.0636170796   0.01001        0.0454858756   0.00940  0           257608                
ISHIOKA   KATH12M   3C446    2019 02 26 03 58  35.0000000000              257701                
   -5464879.29428812   0.01209  -123014.5667685651   0.01397 0      I     257702                
   0.00059    .00000    .00000    .00000  -2.428019944791782       0.0    257703                
  0.307   1.039  0.0012  0.0003 -0.0013 -0.0008       9235.992            257704
   0.00000   0.00000    .00000    .00000    .00000    .00000              257705                
    10.506    33.615  1003.269   994.206    59.731    49.813 0 0          257706                
       -0.0653008608   0.01019       -0.0203697439   0.00702  0           257708                
ISHIOKA   KOKEE     3C446    2019 02 26 03 58  35.0000000000              257801                
   12080038.57531897   0.01639  1002303.2420304397   0.01955 1      I     257802                
   0.00045    .00000    .00000    .00000   4.464098210898858       0.0    257803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            257804
   0.00000   0.05508    .00000    .00000    .00000    .00000              257805                
    10.506    14.400  1003.269   885.800    59.731    82.423 0 0          257806                
        1.0072668974   0.01045       -0.1471988939   0.00667  0           257808                
ISHIOKA   SEJONG    3C446    2019 02 26 03 58  35.0000000000              257901                
    -784640.98277116   0.00889  -274832.9830009898   0.00995 0      I     257902                
   0.00080    .00000    .00000    .00000  -1.914583525597116       0.0    257903                
  0.307   0.156  0.0012  0.0011 -0.0013  0.0005     -31070.239            257904
   0.00000   0.00000    .00000    .00000    .00000    .00000              257905                
    10.506     9.612  1003.269   999.688    59.731    20.720 0 0          257906                
       -0.5523161544   0.02310        0.0107295987   0.00554  0           257908                
ISHIOKA   YARRA12M  3C446    2019 02 26 03 58  35.0000000000              258001                
   -4163609.86866874   0.01459  -545268.3067311113   0.01865 0      I     258002                
   0.00052    .00000    .00000    .00000  -3.287164767199050       0.0    258003                
  0.307   0.587  0.0012  0.0014 -0.0013  0.0006       8164.247            258004
   0.00000   0.00000    .00000    .00000    .00000    .00000              258005                
    10.506    34.520  1003.269   981.670    59.731    50.000 0 0          258006                
       -0.1401293313   0.01145       -0.0546876983   0.00855  0           258008                
KATH12M   KOKEE     3C446    2019 02 26 03 58  35.0000000000              258101                
   17544923.99767457   0.01799  1125317.4463367709   0.02147 0      I     258102                
   0.00041    .00000    .00000    .00000   4.612952936867747       0.0    258103                
  1.039   1.200  0.0003  0.0077 -0.0008  0.0478      -1686.831            258104
   0.00000   0.05508    .00000    .00000    .00000    .00000              258105                
    33.615    14.400   994.206   885.800    49.813    82.423 0 0          258106                
        1.1008949469   0.01304       -0.1704402497   0.00884  0           258108                
KATH12M   SEJONG    3C446    2019 02 26 03 58  35.0000000000              258201                
    4680237.51379451   0.00804  -151818.5316109599   0.00928 0      I     258202                
   0.00089    .00000    .00000    .00000   1.151994804303979       0.0    258203                
  1.039   0.156  0.0003  0.0011 -0.0008  0.0005     -40306.232            258204
   0.00000   0.00000    .00000    .00000    .00000    .00000              258205                
    33.615     9.612   994.206   999.688    49.813    20.720 0 0          258206                
       -0.5424776078   0.05869        0.0285306668   0.01456  0           258208                
KATH12M   YARRA12M  3C446    2019 02 26 03 58  35.0000000000              258301                
    1301267.06750171   0.01997  -422253.8866656370   0.02551 0      I     258302                
   0.00038    .00000    .00000    .00000  -0.333123102849216       0.0    258303                
  1.039   0.587  0.0003  0.0014 -0.0008  0.0006      -1071.746            258304
   0.00000   0.00000    .00000    .00000    .00000    .00000              258305                
    33.615    34.520   994.206   981.670    49.813    50.000 0 0          258306                
       -0.0572515159   0.01599       -0.0510121047   0.01202  0           258308                
KOKEE     SEJONG    3C446    2019 02 26 03 58  35.0000000000              258401                
  -12864664.07958856   0.00884 -1277135.7782818784   0.01055 0      I     258402                
   0.00083    .00000    .00000    .00000  -3.452247997902555       0.0    258403                
  1.200   0.156  0.0077  0.0011  0.0478  0.0005     -38619.401            258404
   0.05508   0.00000    .00000    .00000    .00000    .00000              258405                
    14.400     9.612   885.800   999.688    82.423    20.720 0 0          258406                
       -1.6328274025   0.06602        0.1508659281   0.01692  0           258408                
KOKEE     YARRA12M  3C446    2019 02 26 03 58  35.0000000000              258501                
  -16243629.73397440   0.01857 -1547570.9402216584   0.02373 0      I     258502                
   0.00041    .00000    .00000    .00000  -5.247904869228875       0.0    258503                
  1.200   0.587  0.0077  0.0014  0.0478  0.0006        615.085            258504
   0.05508   0.00000    .00000    .00000    .00000    .00000              258505                
    14.400    34.520   885.800   981.670    82.423    50.000 0 0          258506                
       -1.1780365394   0.02025        0.1036785819   0.01622  0           258508                
SEJONG    YARRA12M  3C446    2019 02 26 03 58  35.0000000000              258601                
   -3378969.12487027   0.00908  -270435.4188471810   0.01160 0      I     258602                
   0.00083    .00000    .00000    .00000  -4.953981899728972       0.0    258603                
  0.156   0.587  0.0011  0.0014  0.0005  0.0006      39234.486            258604
   0.00000   0.00000    .00000    .00000    .00000    .00000              258605                
     9.612    34.520   999.688   981.670    20.720    50.000 0 0          258606                
        0.3997547561   0.06678       -0.0335086617   0.01833  0           258608                
HART15M   YARRA12M  2355-534 2019 02 26 04 00  35.0000000000              258701                
  -15719502.24871054   0.06881   364123.9541245167   0.19870 0      I     258702                
   0.00017    .00000    .00000    .00000  -3.195459880326608       0.1    258703                
  2.969   0.625  0.0518 -0.0018 -0.0748  0.0018       5190.222            258704
   0.00000   0.00000    .00000    .00000    .00000    .00000              258705                
    11.260    34.872   862.600   981.618    88.280    50.000 0 0          258706                
       -0.4264061980   0.04167       -0.0183624540   0.06231  0           258708                
ISHIOKA   KATH12M   2141+175 2019 02 26 04 01  28.0000000000              258801                
    1401714.60970513   0.02592   -61063.8287275068   0.01572 0      I     258802                
   0.00020    .00000    .00000    .00000   1.261427688762806       0.0    258803                
  0.266   1.303  0.0003  0.0016 -0.0015 -0.0022       9235.866            258804
   0.00000   0.00000    .00000    .00000    .00000    .00000              258805                
    10.448    33.966  1003.200   994.137    58.730    48.505 0 0          258806                
        0.0474510928   0.02863       -0.0011001425   0.01091  0           258808                
ISHIOKA   KOKEE     2141+175 2019 02 26 04 01  28.0000000000              258901                
   15637809.01018265   0.02435   769175.7851770094   0.02020 0      I     258902                
   0.00025    .00000    .00000    .00000   1.387894417869890       0.0    258903                
  0.266   1.504  0.0003 -0.0200 -0.0015  0.0726       7549.112            258904
   0.00000   0.05563    .00000    .00000    .00000    .00000              258905                
    10.448    14.342  1003.200   885.800    58.730    82.874 0 0          258906                
        0.6689537972   0.01470        0.0165650172   0.00632  0           258908                
ISHIOKA   MATERA    2141+175 2019 02 26 04 01  28.0000000000              259001                
   14639807.67363698   0.05283 -1720409.7793810167   0.03205 1      I     259002                
   0.00010    .00000    .00000    .00000   5.729254192029721       0.1    259003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            259004
   0.00000  -0.21663    .00000    .00000    .00000    .00000              259005                
    10.448     0.034  1003.200   967.417    58.730    70.849 0 0          259006                
        2.4999096716   0.03581        0.0129231203   0.01001  0           259008                
ISHIOKA   NYALES20  2141+175 2019 02 26 04 01  28.0000000000              259101                
   12009508.26117635   0.02210  -881637.3659797463   0.01611 0      I     259102                
   0.00026    .00000    .00000    .00000  -1.818718514785861       0.0    259103                
  0.266   0.144  0.0003 -0.0072 -0.0015 -0.0430    -145902.696            259104
   0.00000   0.01502    .00000    .00000    .00000    .00000              259105                
    10.448   -19.346  1003.200  1006.400    58.730    64.766 0 0          259106                
        0.1055919677   0.01613       -0.0004571291   0.00670  0           259108                
ISHIOKA   WETTZELL  2141+175 2019 02 26 04 01  28.0000000000              259201                
   14718112.34622416   0.01917 -1560591.1097031669   0.01225 0      I     259202                
   0.00028    .00000    .00000    .00000   2.590805133790657       0.0    259203                
