DATA IN NGS FORMAT FROM DATABASE 19FEB14XE_V002                                                 
  0.305   0.073 -0.0011 -0.0063  0.0003 -0.0004    -292908.946            231304
   0.00000  -0.04847    .00000    .00000    .00000    .00000              231305                
     2.513   -16.513  1008.013   993.400    72.391    65.895 0 0          231306                
        0.0390983364   0.00714        0.0141445359   0.00852  0           231308                
ISHIOKA   SVETLOE   0300+470 2019 02 15 05 19  36.0000000000              231401                
   10861329.66291556   0.00626   312515.1681513935   0.01232 0      I     231402                
   0.00151    .00000    .00000    .00000   1.047849226715340       0.0    231403                
  0.305   0.472 -0.0011 -0.0114  0.0003  0.0004     429605.892            231404
   0.00000   0.00000    .00000    .00000    .00000    .00000              231405                
     2.513     1.227  1008.013  1001.400    72.391    84.434 0 0          231406                
       -0.8736051775   0.00479       -0.0144666385   0.00598  0           231408                
ISHIOKA   WETTZ13N  0300+470 2019 02 15 05 19  36.0000000000              231501                
   15439349.93530860   0.01092   421803.1315310611   0.02150 0      I     231502                
   0.00087    .00000    .00000    .00000   5.128589926071145       0.0    231503                
  0.305   0.863 -0.0011 -0.0649  0.0003  0.0058       1092.802            231504
   0.00000   0.00000    .00000    .00000    .00000    .00000              231505                
     2.513    -0.361  1008.013   961.800    72.391    87.548 0 0          231506                
        0.5799845657   0.00880        0.0024346779   0.01023  0           231508                
ISHIOKA   WETTZELL  0300+470 2019 02 15 05 19  36.0000000000              231601                
   15436394.77657585   0.00947   421809.1723513537   0.01929 0      I     231602                
   0.00101    .00000    .00000    .00000   0.742993781203580       0.0    231603                
  0.305   0.868 -0.0011 -0.0318  0.0003  0.0041      -4034.346            231604
   0.00000   0.00738    .00000    .00000    .00000    .00000              231605                
     2.513    -0.362  1008.013   961.800    72.391    87.549 0 0          231606                
        1.0661287801   0.00813       -0.0059907247   0.00994  0           231608                
KATH12M   KOKEE     0300+470 2019 02 15 05 19  36.0000000000              231701                
  -13239019.79885725   0.02053  1087804.7390810598   0.01956 0      I     231702                
   0.00032    .00000    .00000    .00000   1.979401670736337       0.0    231703                
  3.556   0.327 -0.0203 -0.0015  0.0114 -0.0009      -4253.729            231704
   0.00000  -0.00107    .00000    .00000    .00000    .00000              231705                
    36.350     9.600   993.253   885.500    38.612    95.884 0 0          231706                
       -1.0922408138   0.01079       -0.0526688567   0.00472  0           231708                
KATH12M   NYALES20  0300+470 2019 02 15 05 19  36.0000000000              231801                
   -7468906.34241894   0.01532   734626.4458467111   0.03121 0      I     231802                
   0.00062    .00000    .00000    .00000  -0.685487411416199       0.0    231803                
  3.556   0.073 -0.0203 -0.0063  0.0114 -0.0004    -313618.245            231804
   0.00000  -0.04847    .00000    .00000    .00000    .00000              231805                
    36.350   -16.513   993.253   993.400    38.612    65.895 0 0          231806                
       -1.2265492884   0.01439        0.0119318645   0.01796  0           231808                
KATH12M   SVETLOE   0300+470 2019 02 15 05 19  36.0000000000              231901                
   -1847361.03510053   0.01076   524943.8840846760   0.02120 0      I     231902                
   0.00088    .00000    .00000    .00000  -1.087621407066802       0.0    231903                
  3.556   0.472 -0.0203 -0.0114  0.0114  0.0004     408896.593            231904
   0.00000   0.00000    .00000    .00000    .00000    .00000              231905                
    36.350     1.227   993.253  1001.400    38.612    84.434 0 0          231906                
       -2.1559017642   0.01071       -0.0596242340   0.01429  0           231908                
KATH12M   WETTZ13N  0300+470 2019 02 15 05 19  36.0000000000              232001                
    2730657.86987940   0.01818   634232.0437622708   0.03580 0      I     232002                
   0.00052    .00000    .00000    .00000   0.418831416474154       0.0    232003                
  3.556   0.863 -0.0203 -0.0649  0.0114  0.0058     -19616.497            232004
   0.00000   0.00000    .00000    .00000    .00000    .00000              232005                
    36.350    -0.361   993.253   961.800    38.612    87.548 0 0          232006                
       -0.6667829807   0.01726       -0.0249969890   0.02088  0           232008                
KATH12M   WETTZELL  0300+470 2019 02 15 05 19  36.0000000000              232101                
    2727702.68544377   0.01616   634238.1040326793   0.03292 0      I     232102                
   0.00059    .00000    .00000    .00000   4.882106377701041       0.0    232103                
  3.556   0.868 -0.0203 -0.0318  0.0114  0.0041     -24743.645            232104
   0.00000   0.00738    .00000    .00000    .00000    .00000              232105                
    36.350    -0.362   993.253   961.800    38.612    87.549 0 0          232106                
       -0.1967838476   0.02006       -0.0224332602   0.02610  0           232108                
KOKEE     NYALES20  0300+470 2019 02 15 05 19  36.0000000000              232201                
    5770108.82242170   0.01059  -353179.0785700683   0.02157 0      I     232202                
   0.00090    .00000    .00000    .00000   0.885132347798425       0.0    232203                
  0.327   0.073 -0.0015 -0.0063 -0.0009 -0.0004    -309364.517            232204
  -0.00107  -0.04847    .00000    .00000    .00000    .00000              232205                
     9.600   -16.513   885.500   993.400    95.884    65.895 0 0          232206                
       -0.1083254794   0.00646        0.0234244224   0.00687  0           232208                
KOKEE     SVETLOE   0300+470 2019 02 15 05 19  36.0000000000              232301                
   11391651.34109764   0.00833  -562861.6331321420   0.01696 0      I     232302                
   0.00115    .00000    .00000    .00000   1.674520592299085       0.0    232303                
  0.327   0.472 -0.0015 -0.0114 -0.0009  0.0004     413150.321            232304
  -0.00107   0.00000    .00000    .00000    .00000    .00000              232305                
     9.600     1.227   885.500  1001.400    95.884    84.434 0 0          232306                
       -1.0251329566   0.00505       -0.0103780835   0.00583  0           232308                
KOKEE     WETTZ13N  0300+470 2019 02 15 05 19  36.0000000000              232401                
   15969671.66679882   0.01338  -453573.8015791614   0.02725 0      I     232402                
   0.00071    .00000    .00000    .00000   0.061249879624353       0.0    232403                
  0.327   0.863 -0.0015 -0.0649 -0.0009  0.0058     -15362.769            232404
  -0.00107   0.00000    .00000    .00000    .00000    .00000              232405                
     9.600    -0.361   885.500   961.800    95.884    87.548 0 0          232406                
        0.4271267792   0.00846       -0.0009036903   0.00921  0           232408                
KOKEE     WETTZELL  0300+470 2019 02 15 05 19  36.0000000000              232501                
   15966716.50600609   0.01148  -453567.7099181541   0.02340 0      I     232502                
   0.00083    .00000    .00000    .00000   4.439448258165194       0.0    232503                
  0.327   0.868 -0.0015 -0.0318 -0.0009  0.0041     -20489.916            232504
  -0.00107   0.00738    .00000    .00000    .00000    .00000              232505                
     9.600    -0.362   885.500   961.800    95.884    87.549 0 0          232506                
        0.9169835019   0.00748       -0.0039674290   0.00826  0           232508                
NYALES20  SVETLOE   0300+470 2019 02 15 05 19  36.0000000000              232601                
    5621543.75719867   0.00364  -209682.5188194078   0.00741 0      I     232602                
   0.00262    .00000    .00000    .00000   2.307744665744969       0.0    232603                
  0.073   0.472 -0.0063 -0.0114 -0.0004  0.0004     722514.838            232604
  -0.04847   0.00000    .00000    .00000    .00000    .00000              232605                
   -16.513     1.227   993.400  1001.400    65.895    84.434 0 0          232606                
       -0.9146973787   0.00309       -0.0299816009   0.00412  0           232608                
NYALES20  WETTZ13N  0300+470 2019 02 15 05 19  36.0000000000              232701                
   10199563.45712969   0.00594  -100394.5232624347   0.01210 0      I     232702                
   0.00161    .00000    .00000    .00000  -1.381188445087016       0.0    232703                
  0.073   0.863 -0.0063 -0.0649 -0.0004  0.0058     294001.748            232704
  -0.04847   0.00000    .00000    .00000    .00000    .00000              232705                
   -16.513    -0.361   993.400   961.800    65.895    87.548 0 0          232706                
        0.5386165953   0.00530       -0.0257531247   0.00655  0           232708                
NYALES20  WETTZELL  0300+470 2019 02 15 05 19  36.0000000000              232801                
   10196608.28925098   0.00501  -100388.4895061737   0.01021 0      I     232802                
   0.00190    .00000    .00000    .00000   2.989794868300258       0.0    232803                
  0.073   0.868 -0.0063 -0.0318 -0.0004  0.0041     288874.601            232804
  -0.04847   0.00738    .00000    .00000    .00000    .00000              232805                
   -16.513    -0.362   993.400   961.800    65.895    87.549 0 0          232806                
        1.0328657586   0.00478       -0.0231347384   0.00598  0           232808                
SVETLOE   WETTZ13N  0300+470 2019 02 15 05 19  36.0000000000              232901                
    4578019.12339589   0.00390   109288.0883676527   0.00769 0      I     232902                
   0.00242    .00000    .00000    .00000   0.527324904147970       0.0    232903                
  0.472   0.863 -0.0114 -0.0649  0.0004  0.0058    -428513.090            232904
   0.00000   0.00000    .00000    .00000    .00000    .00000              232905                
     1.227    -0.361  1001.400   961.800    84.434    87.548 0 0          232906                
        1.4551645512   0.00331        0.0103582907   0.00426  0           232908                
SVETLOE   WETTZELL  0300+470 2019 02 15 05 19  36.0000000000              233001                
    4575063.95446023   0.00335   109294.1488195216   0.00683 0      I     233002                
   0.00284    .00000    .00000    .00000   4.900900838145948       0.0    233003                
  0.472   0.868 -0.0114 -0.0318  0.0004  0.0041    -433640.237            233004
   0.00000   0.00738    .00000    .00000    .00000    .00000              233005                
     1.227    -0.362  1001.400   961.800    84.434    87.549 0 0          233006                
        1.9482641234   0.00300        0.0066280291   0.00405  0           233008                
WETTZ13N  WETTZELL  0300+470 2019 02 15 05 19  36.0000000000              233101                
      -2955.16603978   0.00533        6.0392807567   0.01086 0      I     233102                
   0.00179    .00000    .00000    .00000  -1.893642690471660       0.0    233103                
  0.863   0.868 -0.0649 -0.0318  0.0058  0.0041      -5127.147            233104
   0.00000   0.00738    .00000    .00000    .00000    .00000              233105                
    -0.361    -0.362   961.800   961.800    87.548    87.549 0 0          233106                
        0.4917695433   0.00781        0.0190708034   0.00765  0           233108                
BADARY    HART15M   1936-155 2019 02 15 05 20  19.0000000000              233201                
   -9933424.40454095   0.00817 -1401941.4749841043   0.01664 8      I     233202                
   0.00117    .00000    .00000    .00000  -3.547148678083093       0.0    233203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            233204
   0.00000   0.00000    .00000    .00000    .00000    .00000              233205                
   -11.584    16.800   931.700   865.000    31.736    88.600 0 0          233206                
        0.0000000000   0.00000        0.0000000000   0.00000  0           233208                
BADARY    YARRA12M  1936-155 2019 02 15 05 20  19.0000000000              233301                
   -9209747.81832075   0.02147   435925.3107029244   0.04374 8      I     233302                
   0.00045    .00000    .00000    .00000  -1.962932416239178       0.0    233303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            233304
   0.00000   0.00000    .00000    .00000    .00000    .00000              233305                
   -11.584    32.300   931.700   984.700    31.736    50.000 0 0          233306                
        0.0000000000   0.00000        0.0000000000   0.00000  0           233308                
HART15M   YARRA12M  1936-155 2019 02 15 05 20  19.0000000000              233401                
     723694.46431587   0.03945  1837869.3036959115   0.08037 0      I     233402                
   0.00024    .00000    .00000    .00000   0.967769171159148       0.1    233403                
  1.048   0.450  0.0002 -0.0007  0.0019  0.0029    -144965.908            233404
   0.00000   0.00000    .00000    .00000    .00000    .00000              233405                
    16.800    32.300   865.000   984.700    88.600    50.000 0 0          233406                
        7.5221675535   0.02598        0.0938459135   0.02889  0           233408                
KATH12M   KOKEE     0017+200 2019 02 15 05 24  23.0000000000              233501                
    5650955.26385253   0.02439  1351680.4031451761   0.01037 0      I     233502                
   0.00018    .00000    .00000    .00000   5.195533273760249       0.0    233503                
  1.091   0.531 -0.0012 -0.0013  0.0002 -0.0082      -4253.461            233504
   0.00000  -0.00032    .00000    .00000    .00000    .00000              233505                
    36.612     9.600   993.177   885.525    39.185    95.800 0 0          233506                
        0.0995655612   0.01222        0.0041498585   0.00224  0           233508                
KATH12M   WARK12M   0017+200 2019 02 15 05 24  23.0000000000              233601                
    8622887.99867423   0.03014   851436.6656240646   0.01275 0      I     233602                
   0.00017    .00000    .00000    .00000  -1.056125998488170       0.1    233603                
  1.091   1.176 -0.0012  0.0379  0.0002 -0.0227     -84116.212            233604
   0.00000   0.00000    .00000    .00000    .00000    .00000              233605                
    36.612    10.000   993.177  1000.000    39.185    50.000 0 0          233606                
        0.9915772089   0.04226       -0.0089442117   0.00622  0           233608                
KATH12M   YARRA12M  0017+200 2019 02 15 05 24  23.0000000000              233701                
    4963823.82378174   0.02121  -341833.2878805328   0.00908 0      I     233702                
   0.00021    .00000    .00000    .00000   0.090067983230804       0.0    233703                
  1.091   0.558 -0.0012 -0.0089  0.0002 -0.0025    -159062.505            233704
   0.00000   0.00000    .00000    .00000    .00000    .00000              233705                
    36.612    32.469   993.177   984.679    39.185    50.000 0 0          233706                
        3.8674540675   0.01630        0.0047031840   0.00406  0           233708                
KOKEE     WARK12M   0017+200 2019 02 15 05 24  23.0000000000              233801                
    2971935.48180363   0.02018  -500243.2175846720   0.00854 0      I     233802                
   0.00026    .00000    .00000    .00000   1.629108369391054       0.0    233803                
  0.531   1.176 -0.0013  0.0379 -0.0082 -0.0227     -79862.751            233804
  -0.00032   0.00000    .00000    .00000    .00000    .00000              233805                
     9.600    10.000   885.525  1000.000    95.800    50.000 0 0          233806                
        0.8705254924   0.01672       -0.0092701454   0.00232  0           233808                
KOKEE     YARRA12M  0017+200 2019 02 15 05 24  23.0000000000              233901                
    -687121.84033902   0.02723 -1693511.5912356398   0.00958 0      I     233902                
   0.00015    .00000    .00000    .00000  -0.452109112322807       0.0    233903                
  0.531   0.558 -0.0013 -0.0089 -0.0082 -0.0025    -154809.045            233904
  -0.00032   0.00000    .00000    .00000    .00000    .00000              233905                
     9.600    32.469   885.525   984.679    95.800    50.000 0 0          233906                
        3.7879462437   0.01238       -0.0014805532   0.00157  0           233908                
WARK12M   YARRA12M  0017+200 2019 02 15 05 24  23.0000000000              234001                
   -3659053.60073534   0.03532 -1193269.0137362999   0.01494 0      I     234002                
   0.00015    .00000    .00000    .00000  -4.886535214593843       0.1    234003                
  1.176   0.558  0.0379 -0.0089 -0.0227 -0.0025     -74946.294            234004
   0.00000   0.00000    .00000    .00000    .00000    .00000              234005                
    10.000    32.469  1000.000   984.679    50.000    50.000 0 0          234006                
        2.7653804330   0.04138        0.0035175798   0.00601  0           234008                
BADARY    HART15M   2013+163 2019 02 15 05 24  30.0000000000              234101                
    7058725.82616082   0.01728 -1408727.3464592949   0.01042 0      I     234102                
   0.00030    .00000    .00000    .00000  -1.933967210433204       0.0    234103                
  0.071   1.861  0.0017  0.0049  0.0006  0.0066    -422458.952            234104
   0.00000   0.00000    .00000    .00000    .00000    .00000              234105                
   -11.688    16.823   931.669   865.000    32.089    88.554 0 0          234106                
        0.1312731043   0.01001        0.0228328601   0.00303  0           234108                
BADARY    ISHIOKA   2013+163 2019 02 15 05 24  30.0000000000              234201                
    4786598.86876837   0.01700   685165.2873184583   0.01025 0      I     234202                
   0.00031    .00000    .00000    .00000   1.905595356918099       0.0    234203                
  0.071   0.480  0.0017  0.0003  0.0006 -0.0018    -429070.857            234204
   0.00000   0.00000    .00000    .00000    .00000    .00000              234205                
   -11.688     2.652   931.669  1008.083    32.089    72.983 0 0          234206                
        3.6450585271   0.01192        0.0098962169   0.00404  0           234208                
BADARY    NYALES20  2013+163 2019 02 15 05 24  30.0000000000              234301                
    8420418.95123025   0.01094  -637722.9713732345   0.00659 0      I     234302                
   0.00047    .00000    .00000    .00000   4.611947859872351       0.0    234303                
  0.071   0.126  0.0017  0.0073  0.0006 -0.0079    -721979.193            234304
   0.00000  -0.03734    .00000    .00000    .00000    .00000              234305                
   -11.688   -16.134   931.669   993.500    32.089    64.710 0 0          234306                
        3.6160664559   0.00923        0.0245283929   0.00333  0           234308                
BADARY    SVETLOE   2013+163 2019 02 15 05 24  30.0000000000              234401                
    4360319.08578334   0.00782  -923943.0075005918   0.00471 8      I     234402                
   0.00066    .00000    .00000    .00000  -1.242843351727906       0.0    234403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            234404
   0.00000   0.00000    .00000    .00000    .00000    .00000              234405                
   -11.688     1.432   931.669  1001.400    32.089    83.716 0 0          234406                
        0.0000000000   0.00000        0.0000000000   0.00000  0           234408                
BADARY    WETTZ13N  2013+163 2019 02 15 05 24  30.0000000000              234501                
    5934788.18062423   0.01299 -1260991.7210760682   0.00783 0      I     234502                
   0.00040    .00000    .00000    .00000   1.840948985669189       0.0    234503                
  0.071   0.227  0.0017  0.0005  0.0006  0.0025    -427978.060            234504
   0.00000   0.00000    .00000    .00000    .00000    .00000              234505                
   -11.688    -0.040   931.669   961.800    32.089    86.779 0 0          234506                
        4.2255163785   0.01054        0.0041797405   0.00376  0           234508                
BADARY    WETTZELL  2013+163 2019 02 15 05 24  30.0000000000              234601                
    5932328.47251949   0.01005 -1260973.4790334231   0.00606 0      I     234602                
   0.00052    .00000    .00000    .00000   2.695820766107425       0.0    234603                
  0.071   0.230  0.0017  0.0002  0.0006  0.0019    -433105.214            234604
   0.00000   0.00549    .00000    .00000    .00000    .00000              234605                
   -11.688    -0.040   931.669   961.800    32.089    86.777 0 0          234606                
        4.7121094364   0.00897        0.0103196237   0.00328  0           234608                
HART15M   ISHIOKA   2013+163 2019 02 15 05 24  30.0000000000              234701                
   -2272142.19068641   0.03180  2093895.8088641469   0.01086 0      I     234702                
   0.00012    .00000    .00000    .00000  -3.534025419179510       0.1    234703                
  1.861   0.480  0.0049  0.0003  0.0066 -0.0018      -6611.905            234704
   0.00000   0.00000    .00000    .00000    .00000    .00000              234705                
    16.823     2.652   865.000  1008.083    88.554    72.983 0 0          234706                
        3.5177604534   0.02058       -0.0044129257   0.00380  0           234708                
HART15M   NYALES20  2013+163 2019 02 15 05 24  30.0000000000              234801                
    1361687.48626469   0.01871   771005.8600433713   0.00639 0      I     234802                
   0.00021    .00000    .00000    .00000   0.016519924257790       0.0    234803                
  1.861   0.126  0.0049  0.0073  0.0066 -0.0079    -299520.241            234804
   0.00000  -0.03734    .00000    .00000    .00000    .00000              234805                
    16.823   -16.134   865.000   993.500    88.554    64.710 0 0          234806                
        3.4896761038   0.01511        0.0087027831   0.00305  0           234808                
HART15M   SVETLOE   2013+163 2019 02 15 05 24  30.0000000000              234901                
   -2698410.26444943   0.01590   484785.2092027740   0.00958 0      I     234902                
   0.00033    .00000    .00000    .00000  -1.475879401331710       0.0    234903                
  1.861   0.289  0.0049  0.0020  0.0066  0.0005     422994.745            234904
   0.00000   0.00000    .00000    .00000    .00000    .00000              234905                
    16.823     1.432   865.000  1001.400    88.554    83.716 0 0          234906                
        2.6035835107   0.01750       -0.0202442196   0.00726  0           234908                
HART15M   WETTZ13N  2013+163 2019 02 15 05 24  30.0000000000              235001                
   -1123938.73883181   0.01775   147736.1003811901   0.00606 0      I     235002                
   0.00022    .00000    .00000    .00000  -1.337333505626408       0.0    235003                
  1.861   0.227  0.0049  0.0005  0.0066  0.0025      -5519.108            235004
   0.00000   0.00000    .00000    .00000    .00000    .00000              235005                
    16.823    -0.040   865.000   961.800    88.554    86.779 0 0          235006                
        4.0566674514   0.01492       -0.0102509101   0.00304  0           235008                
HART15M   WETTZELL  2013+163 2019 02 15 05 24  30.0000000000              235101                
   -1126398.43053157   0.01338   147754.3363668349   0.00457 0      I     235102                
   0.00029    .00000    .00000    .00000  -0.475926560899713       0.0    235103                
  1.861   0.230  0.0049  0.0002  0.0066  0.0019     -10646.261            235104
   0.00000   0.00549    .00000    .00000    .00000    .00000              235105                
    16.823    -0.040   865.000   961.800    88.554    86.777 0 0          235106                
        4.5620120628   0.01212       -0.0069793098   0.00252  0           235108                
ISHIOKA   NYALES20  2013+163 2019 02 15 05 24  30.0000000000              235201                
    3633826.69554552   0.02284 -1322887.2525382030   0.00678 0      I     235202                
   0.00016    .00000    .00000    .00000   5.375185859839251       0.0    235203                
  0.480   0.126  0.0003  0.0073 -0.0018 -0.0079    -292908.336            235204
   0.00000  -0.03734    .00000    .00000    .00000    .00000              235205                
     2.652   -16.134  1008.083   993.500    72.983    64.710 0 0          235206                
       -0.0131984596   0.02253        0.0106436774   0.00414  0           235208                
ISHIOKA   SVETLOE   2013+163 2019 02 15 05 24  30.0000000000              235301                
    -426271.75338991   0.02149 -1609107.1953934648   0.01282 0      I     235302                
   0.00024    .00000    .00000    .00000  -1.710019198049296       0.0    235303                
  0.480   0.289  0.0003  0.0020 -0.0018  0.0005     429606.650            235304
   0.00000   0.00000    .00000    .00000    .00000    .00000              235305                
     2.652     1.432  1008.083  1001.400    72.983    83.716 0 0          235306                
       -0.9385062741   0.02894        0.0030148514   0.01216  0           235308                
ISHIOKA   WETTZ13N  2013+163 2019 02 15 05 24  30.0000000000              235401                
    1148199.00725278   0.02534 -1946155.6712202360   0.00866 0      I     235402                
   0.00015    .00000    .00000    .00000   2.857675446621426       0.0    235403                
  0.480   0.227  0.0003  0.0005 -0.0018  0.0025       1092.797            235404
   0.00000   0.00000    .00000    .00000    .00000    .00000              235405                
     2.652    -0.040  1008.083   961.800    72.983    86.779 0 0          235406                
        0.5921775074   0.02842       -0.0064391096   0.00612  0           235408                
ISHIOKA   WETTZELL  2013+163 2019 02 15 05 24  30.0000000000              235501                
    1145739.31464520   0.01948 -1946137.4275583897   0.00578 0      I     235502                
   0.00019    .00000    .00000    .00000   1.222879230932236       0.0    235503                
  0.480   0.230  0.0003  0.0002 -0.0018  0.0019      -4034.357            235504
   0.00000   0.00549    .00000    .00000    .00000    .00000              235505                
     2.652    -0.040  1008.083   961.800    72.983    86.777 0 0          235506                
        1.0841760991   0.01877       -0.0053571828   0.00343  0           235508                
NYALES20  SVETLOE   2013+163 2019 02 15 05 24  30.0000000000              235601                
   -4060097.35184654   0.00993  -286220.4557748924   0.00599 0      I     235602                
   0.00052    .00000    .00000    .00000  -1.763089207513795       0.0    235603                
  0.126   0.289  0.0073  0.0020 -0.0079  0.0005     722514.986            235604
  -0.03734   0.00000    .00000    .00000    .00000    .00000              235605                
   -16.134     1.432   993.500  1001.400    64.710    83.716 0 0          235606                
       -0.8893831458   0.01667       -0.0172633678   0.00718  0           235608                
NYALES20  WETTZ13N  2013+163 2019 02 15 05 24  30.0000000000              235701                
   -2485625.31971991   0.01264  -623269.3238328445   0.00432 0      I     235702                
   0.00031    .00000    .00000    .00000  -3.032496259534697       0.0    235703                
  0.126   0.227  0.0073  0.0005 -0.0079  0.0025     294001.133            235704
  -0.03734   0.00000    .00000    .00000    .00000    .00000              235705                
   -16.134    -0.040   993.500   961.800    64.710    86.779 0 0          235706                
        0.5995398533   0.01394       -0.0160057935   0.00300  0           235708                
NYALES20  WETTZELL  2013+163 2019 02 15 05 24  30.0000000000              235801                
   -2488085.02135972   0.00877  -623251.0788280567   0.00262 0      I     235802                
   0.00042    .00000    .00000    .00000  -2.141705227052072       0.0    235803                
  0.126   0.230  0.0073  0.0002 -0.0079  0.0019     288873.979            235804
  -0.03734   0.00549    .00000    .00000    .00000    .00000              235805                
   -16.134    -0.040   993.500   961.800    64.710    86.777 0 0          235806                
        1.0811797189   0.00988       -0.0112179637   0.00186  0           235808                
SVETLOE   WETTZ13N  2013+163 2019 02 15 05 24  30.0000000000              235901                
    1574470.53916575   0.01037  -337049.0096452762   0.00625 0      I     235902                
   0.00050    .00000    .00000    .00000   5.900245645611567       0.0    235903                
  0.289   0.227  0.0020  0.0005  0.0005  0.0025    -428513.853            235904
   0.00000   0.00000    .00000    .00000    .00000    .00000              235905                
     1.432    -0.040  1001.400   961.800    83.716    86.779 0 0          235906                
        1.4892662059   0.01904        0.0061107413   0.00825  0           235908                
SVETLOE   WETTZELL  2013+163 2019 02 15 05 24  30.0000000000              236001                
    1572010.84041904   0.00782  -337030.7553416317   0.00467 0      I     236002                
   0.00066    .00000    .00000    .00000   0.479570830535377       0.0    236003                
  0.289   0.230  0.0020  0.0002  0.0005  0.0019    -433641.007            236004
   0.00000   0.00549    .00000    .00000    .00000    .00000              236005                
     1.432    -0.040  1001.400   961.800    83.716    86.777 0 0          236006                
        1.9961789995   0.01297        0.0080481089   0.00553  0           236008                
WETTZ13N  WETTZELL  2013+163 2019 02 15 05 24  30.0000000000              236101                
      -2459.68534182   0.00714       18.2452493213   0.00244 0      I     236102                
   0.00055    .00000    .00000    .00000  -5.473975287843522       0.0    236103                
  0.227   0.230  0.0005  0.0002  0.0025  0.0019      -5127.153            236104
   0.00000   0.00549    .00000    .00000    .00000    .00000              236105                
    -0.040    -0.040   961.800   961.800    86.779    86.777 0 0          236106                
        0.5164778300   0.01008       -0.0017968098   0.00165  0           236108                
BADARY    KATH12M   3C418    2019 02 15 05 28  34.0000000000              236201                
   16292100.88098178   0.01060   512058.7485193413   0.02159 0      I     236202                
   0.00090    .00000    .00000    .00000   1.296541600893556       0.0    236203                
  0.053   4.394 -0.0000 -0.0300  0.0002 -0.0132    -408362.376            236204
   0.00000   0.00000    .00000    .00000    .00000    .00000              236205                
   -12.055    36.355   931.589   993.116    33.386    40.803 0 0          236206                
        4.8433808814   0.00657       -0.2012431229   0.00707  0           236208                
BADARY    SVETLOE   3C418    2019 02 15 05 28  34.0000000000              236301                
    2400247.83149588   0.00191  -581661.4291785951   0.00388 0      I     236302                
   0.00500    .00000    .00000    .00000   5.539727137260924       0.0    236303                
  0.053   0.195 -0.0000 -0.0001  0.0002  0.0002        536.421            236304
   0.00000   0.00000    .00000    .00000    .00000    .00000              236305                
   -12.055     1.500   931.589  1001.348    33.386    83.031 0 0          236306                
        2.7000726553   0.00171       -0.0110561087   0.00231  0           236308                
KATH12M   SVETLOE   3C418    2019 02 15 05 28  34.0000000000              236401                
  -13891835.00016571   0.01013 -1093719.2650383213   0.01995 0      I     236402                
   0.00093    .00000    .00000    .00000  -0.365308503176773       0.0    236403                
  4.394   0.195 -0.0300 -0.0001 -0.0132  0.0002     408898.796            236404
   0.00000   0.00000    .00000    .00000    .00000    .00000              236405                
    36.355     1.500   993.116  1001.348    40.803    83.031 0 0          236406                
       -2.1458202262   0.01543        0.2108344190   0.02160  0           236408                
KOKEE     NYALES20  0016+731 2019 02 15 05 31  28.0000000000              236501                
   -9259665.68533292   0.03646  -431126.3876431128   0.07429 0      I     236502                
   0.00026    .00000    .00000    .00000  -5.470878031495760       0.1    236503                
  0.615   0.053 -0.0097 -0.0012 -0.0034 -0.0003    -309362.624            236504
   0.00173  -0.02397    .00000    .00000    .00000    .00000              236505                
     9.600   -17.100   885.616   993.600    95.800    65.991 0 0          236506                
       -0.1820289948   0.02769       -0.0002054965   0.03267  0           236508                
KOKEE     SVETLOE   0016+731 2019 02 15 05 31  28.0000000000              236601                
   -6409067.64420308   0.03986  -568631.3107367741   0.08121 0      I     236602                
   0.00024    .00000    .00000    .00000  -3.060338543467040       0.1    236603                
  0.615   0.207 -0.0097 -0.0014 -0.0034  0.0001     413152.572            236604
   0.00173   0.00000    .00000    .00000    .00000    .00000              236605                
     9.600     1.516   885.616  1001.149    95.800    82.618 0 0          236606                
       -1.0783906716   0.03107       -0.0055471029   0.04041  0           236608                
KOKEE     WETTZ13N  0016+731 2019 02 15 05 31  28.0000000000              236701                
   -2955527.24394915   0.04983  -599359.8759045214   0.10153 4      I     236702                
   0.00019    .00000    .00000    .00000  -3.547770792513735       0.1    236703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            236704
   0.00173   0.00000    .00000    .00000    .00000    .00000              236705                
     9.600     0.216   885.616   961.784    95.800    84.960 0 0          236706                
        0.4481478691   0.04557       -0.0314769364   0.05660  0           236708                
KOKEE     WETTZELL  0016+731 2019 02 15 05 31  28.0000000000              236801                
   -2958375.37389918   0.04565  -599353.9067828045   0.09302 4      I     236802                
   0.00021    .00000    .00000    .00000   0.798122281032656       0.1    236803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000            236804
   0.00173   0.00948    .00000    .00000    .00000    .00000              236805                
     9.600     0.216   885.616   961.784    95.800    84.959 0 0          236806                
        0.9157951161   0.04488       -0.0140525334   0.05652  0           236808                
NYALES20  SVETLOE   0016+731 2019 02 15 05 31  28.0000000000              236901                
    2850596.86970330   0.00348  -137505.2004020363   0.00708 0      I     236902                
   0.00274    .00000    .00000    .00000   1.231512533396001       0.0    236903                
  0.053   0.207 -0.0012 -0.0014 -0.0003  0.0001     722515.196            236904
  -0.02397   0.00000    .00000    .00000    .00000    .00000              236905                
   -17.100     1.516   993.600  1001.149    65.991    82.618 0 0          236906                
